TestNo,TestName
1,triangle.test.TriangleTest[test11]
2,triangle.test.TriangleTest[test12]
3,triangle.test.TriangleTest[test13]
4,triangle.test.TriangleTest[test14]
5,triangle.test.TriangleTest[test15]
6,triangle.test.TriangleTest[test16]
7,triangle.test.TriangleTest[test18]
8,triangle.test.TriangleTest[test19]
9,triangle.test.TriangleTest[test20]
10,triangle.test.TriangleTest[test21]
11,triangle.test.TriangleTest[test22]
12,triangle.test.TriangleTest[test23]
13,triangle.test.TriangleTest[test24]
14,triangle.test.TriangleTest[test25]
15,triangle.test.TriangleTest[test26]
16,triangle.test.TriangleTest[test27]
17,triangle.test.TriangleTest[test28]
18,triangle.test.TriangleTest[test29]
19,triangle.test.TriangleTest[test30]
20,triangle.test.TriangleTest[test31]
21,triangle.test.TriangleTest[test32]
22,triangle.test.TriangleTest[test33]
23,triangle.test.TriangleTest[test1]
24,triangle.test.TriangleTest[test2]
25,triangle.test.TriangleTest[test3]
26,triangle.test.TriangleTest[test4]
27,triangle.test.TriangleTest[test5]
28,triangle.test.TriangleTest[test6]
29,triangle.test.TriangleTest[test7]
30,triangle.test.TriangleTest[test8]
31,triangle.test.TriangleTest[test9]
32,triangle.test.TriangleTest[test17]
33,triangle.test.TriangleTest[testAddObjectArrayBoolean]
34,triangle.test.TriangleTest[test10]
